ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Percina shumardi,river darter,dard de rivière,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Sander canadensis,sauger,doré noir,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Sander vitreus,walleye,doré jaune,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,PERCIDAE,Etheostoma blennioides,greenside darter,dard vert,,,,,,,,,,,,,,,,,,,,,,
PERCIFORMES,SCIAENIDAE,Aplodinotus grunniens,freshwater drum,malachigan,,,,,,,,,,,,,,,,,,,,,,
PERCOPSIFORMES,PERCOPSIDAE,Percopsis omiscomaycus,trout-perch,omisco,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Ichthyomyzon fossor,northern brook lamprey,lamproie du nord,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Ichthyomyzon unicuspis,silver lamprey,lamproie argentée,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra ayresii,western river lamprey,lamproie à queue noire,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra richardsoni,western brook lamprey,lamproie de l'ouest,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron alaskense,darktail lamprey,lamproie d'Alaska,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron appendix,American Brook Lamprey,lamproie de l'est,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Ichthyomyzon castaneus,chestnut lamprey,lamproie brune,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Entosphenus macrostomus,Vancouver Lamprey,lamproie de Vancouver,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Petromyzon marinus,sea lamprey,lamproie marine,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Entosphenus tridentatus,Pacific lamprey,lamproie du Pacifique,,,,,,,,,,,,,,,,,,,,,,
PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron camtschaticum,Arctic lamprey,lamproie arctique,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus artedi,cisco ,cisco de lac,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus hoyi,bloater,cisco de fumage,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus kiyi,kiyi,cisco kiyi,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus lavaretus,European Whitefish,corégone européen,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus nigripinnis,blackfin cisco,cisco à nageoires noires,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus zenithicus,shortjaw cisco,cisco à mâchoires égales,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Prosopium coulterii,pygmy whitefish,ménomini pygmée,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Prosopium cylindraceum,round whitefish,ménomini rond,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Prosopium williamsoni,mountain whitefish,ménomini de montagnes,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus huntsmani,Atlantic whitefish,corégone d'Atlantique,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus clarkii,cutthroat trout,truite fardée,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus gorbuscha,pink salmon,saumon rose,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus kisutch,coho salmon,saumon coho,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus mykiss,rainbow trout,truite arc-en-ciel,,,,,,,,,,,,,,,,,,,,,,
